序号,商品标题,价格,店铺,销量,发货地,标签/服务,判断,商品链接,店铺链接,图片链接
1,Tldv 美式潮牌高街印花日常通勤宽松亲肤透气舒适休闲百搭短袖T恤,29.9,TideStyle线上商店,0人付款,广东 揭阳,6期、退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1060909179817&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=00002Wd2Nwqtvbka8rA02Ie0UujYZ9HvJylneDpOFhtCzjk&skuId=6108063028675,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMhkduvtFZzgM2c8ViHhkYUnKuRSpUi58ZDdY4SB2s4j7,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN010Ft9T91Xgz80vHWfe_!!3139232954.jpg
2,LMC 美式潮牌高街cleanfit高级氛围感立体字母印花日常短袖T恤,29.9,Imc TL线上商店,0人付款,广东 广州,6期、30天价保、退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1054621159876&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000u2aD5CGFHKth5HA1BzP3HM_zrM1g4sH0BGiOnjrj49o&skuId=6097462881771,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWN1EeNgnQztWMB8PuEYVXxfDXSSKp9z6JejB7CgfoitME,https://gw.alicdn.com/imgextra/O1CN01hLVTEw2JA6F1silz9_!!2209630359380-0-picasso.jpg
3,Tldv 美式潮牌高街围感立体字母印花日常通勤宽松亲肤透气短袖T恤,29.9,TideStyle线上商店,0人付款,广东 揭阳,6期、退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1058696112700&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000Q1a_Q5W7hhaMiE9SzpF4SosrJp0YQ_-oZD8PYJjTnd0&skuId=6099287736088,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMhkduvtFZzgM2c8ViHhkYUnKuRSpUi58ZDdY4SB2s4j7,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN01LYS1N11Xgz7frnidy_!!3139232954.jpg
4,美式潮流字母印花短袖T恤男女通用高街复古上衣圆领宽松型夏休闲,57.66,NASA Wassup 中国专区线上店,1人付款,广东 广州,官方立减12%、退货宝,有退货保障,https://item.taobao.com/item.htm?id=1057097657019&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000TRHzW6lAlIrmv9-vohiXvSuZFdOImHeIe5WwsthRPrw&skuId=6098774317264,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWJwAmFggzuE1VeqnThppEYRvRYGVY8qbkMfFB6G2ja1RR,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN01cgfrSH1fK6G7SBiaU_!!2208153743987.jpg
5,美式嘻哈风字母印花短袖满天星T恤男女同款宽松潮牌高街透气上衣,67.47,NASA Wassup 中国专区线上店,1人付款,广东 广州,官方立减12%、退货宝,有退货保障,https://item.taobao.com/item.htm?id=1061726109341&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000dpZRrH_dp9S8pO3WmcQRnuiiX0UZh7es9Rdl13jlfxc&skuId=6106269024676,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWJwAmFggzuE1VeqnThppEYRvRYGVY8qbkMfFB6G2ja1RR,https://g-search1.alicdn.com/img/bao/uploaded/i4/O1CN01y6M1Pq1fK6GNoSeGd_!!2208153743987.jpg
6,Dickies双纱300g重磅落肩宽松复古仿刺绣宽松情侣纯棉圆领短袖T恤,119,Dickies品牌店,200+人付款,福建 泉州,退货宝、48小时内发、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1051601682492&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000d-ebJybF2uaeIQ8AejNleyvKV6UwKD0_nmNlUAzm0zE&skuId=6089552252850,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWUiQHyVa8iGiCFzLNsri38btewqW5kX2kqA2yduxg799j,https://g-search2.alicdn.com/img/bao/uploaded/i4/O1CN01HNHgdX1Vk4YgGIi1z_!!2207786462690.jpg
7,美式复古高街仿刺绣涂鸦贴纸图案品牌logo圆领短袖T恤 男女同款,32.9,漫潮潮牌供应链,3人付款,广东 揭阳,,优先比价,https://item.taobao.com/item.htm?id=1059153809335&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=00003zZJOrPKrn8lIlDPtbv5vZ-X0ID2xlc8jDcIfPQ1R74&skuId=6102739861354,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWKYYe5JBsjSJaGwsLLDTheLg11LAKummfxKFXzHwAssVD,https://g-search2.alicdn.com/img/bao/uploaded/i4/O1CN01gtiExU1Fu7OmtBBX9_!!3033750546.png
8,Dickies美式潮牌百搭经典logo字母印花短袖t恤男2026夏季男女同款,119,Dickies男装企业店,2人付款,北京,官方立减12%、退货宝、48小时内发、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1063543441630&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=00006dfTuUjhAB_Ndkoz6-9gwn_kVxT0kx_gn9YlqAEkdR0&skuId=6274096166331,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWLDzGWyXZuYi2DEMvehm6yBQBLDsZfEveygN1vYQvWyz1,https://g-search3.alicdn.com/img/bao/uploaded/i4/O1CN01dhVEFI1J3E7vmBYh4_!!2222201280972.jpg
9,Dickies分散立体字母多徽章贴布印花短袖T恤男女美式宽松纯棉上衣,135.62,DICKIES正品奥特莱斯总店,18人付款,福建 泉州,官方立减30元、淘金币已抵3.38元、48小时内发、包邮、公益宝贝,包邮,https://item.taobao.com/item.htm?id=1062227352353&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=0000cx6a_FNA_MlnUsHeTAo6uhIwT5VVp01J9vIobA8HUyg&skuId=6270713143854,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWbJ3eB1qmHb4E1ASsh6HcQK82DqsAw3pcdGq3QNPtgDM8,https://gw.alicdn.com/imgextra/O1CN01Sq46sU1Kv6KdQbiiW_!!2222088551225-0-picasso.jpg
10,LMC 美式高街复古休闲涂鸦英文字母logo贴纸徽章做旧印花短袖T恤,29.9,Imc TL线上商店,1人付款,广东 广州,6期、30天价保、退货宝、包邮,有退货保障；包邮,https://item.taobao.com/item.htm?id=1061249778651&ns=1&abbucket=11&xxc=taobaoSearch&mi_id=00001ZswU7_56JLoHPijxYsCIQtvdxe9VI40_jEe5RiO37U&skuId=6272043658276,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWN1EeNgnQztWMB8PuEYVXxfDXSSKp9z6JejB7CgfoitME,https://gw.alicdn.com/imgextra/O1CN01MeSBFh2JA6FLDui1E_!!2209630359380-0-picasso.jpg
